abs_hour,hod,arrivals,acuity_mean
0,0,8,0.7482066727760586
1,1,9,0.6012402661156788
2,2,8,0.8522784874997067
3,3,9,0.8016408509831747
4,4,3,0.8056306577994702
5,5,3,1.2546265187904655
6,6,10,0.8332653103442034
7,7,12,0.9417168169458323
8,8,12,0.8333300258601154
9,9,8,0.7523569995003412
10,10,11,0.7863563519988105
11,11,13,0.7048470164821812
12,12,10,0.7650022660058251
13,13,8,0.6910856751362052
14,14,12,0.7370265912859423
15,15,14,0.7201474992935788
16,16,15,0.7912616658567959
17,17,9,0.8028435287929312
18,18,9,0.7569057926178563
19,19,16,0.832837918599249
20,20,14,0.7706392715691344
21,21,12,0.8763773111632999
22,22,10,0.7346449150234602
23,23,14,0.7869814767472011
24,0,4,0.7458371357015493
25,1,8,0.787666231744757
26,2,7,0.7322084847597956
27,3,6,0.8878051856558794
28,4,2,0.7670474722459804
29,5,6,0.8384201140390951
30,6,10,0.8022233293423764
31,7,10,0.712910672679635
32,8,16,0.7864285759016792
33,9,9,0.8407345918434687
34,10,12,0.8988337505785049
35,11,8,0.8126586214984843
36,12,11,0.7221755318907035
37,13,11,0.8298624216309721
38,14,10,0.8065696799493306
39,15,6,0.6744475592392082
40,16,8,0.6723110381497492
41,17,12,0.7192432301066952
42,18,13,0.747019054406227
43,19,12,0.8184471703937364
44,20,16,0.8622201124149911
45,21,10,0.8382926766229151
46,22,13,0.9197521745337413
47,23,12,0.778188212758428
48,0,5,0.8209848476382527
49,1,4,0.8770886606409534
50,2,4,0.8773105232901035
51,3,9,0.7026232121274089
