abs_hour,hod,arrivals,acuity_mean
24,0,5,0.7019930865925607
25,1,5,0.8725278840521469
26,2,6,0.6495278698495266
27,3,4,0.822953119542545
28,4,8,0.8118871516600015
29,5,6,0.6800884895258722
30,6,12,0.71899774076227
31,7,7,0.7700932047675763
32,8,10,0.7540038774456976
33,9,9,0.8812854290168273
34,10,7,0.7028205158832861
35,11,9,0.7115426079253427
36,12,11,0.6484806608875442
37,13,8,0.7731999186190188
38,14,7,0.8173860410889073
39,15,10,0.6632515939708346
40,16,8,0.7152528793078496
41,17,13,0.8248629860743841
42,18,11,0.7619048635480368
43,19,9,0.922682861665549
44,20,9,0.867668775043803
45,21,10,0.7786284684784455
46,22,9,0.7415765799822692
47,23,7,0.6037057669358374
48,0,7,0.7911371490577237
49,1,8,0.8049409268419395
50,2,5,0.72747878265513
51,3,9,0.8054296370646726
