abs_hour,hod,arrivals,acuity_mean
0,0,8,0.7472030194878516
1,1,8,0.6316022345963698
2,2,5,0.7785348287140872
3,3,3,1.3201301870494837
4,4,10,0.9630112317853945
5,5,8,0.8057307476356558
6,6,14,0.7978238824836005
7,7,13,0.7849277775337684
8,8,10,0.7098239145828642
9,9,10,0.7784089328308508
10,10,4,0.8288522802712457
11,11,8,0.5948465864288616
12,12,15,0.8484816705417233
13,13,10,0.8743910785892612
14,14,10,0.6908042989538313
15,15,19,0.8536207429086168
16,16,15,0.6504480395057659
17,17,8,0.6853812462048631
18,18,8,0.81549839769262
19,19,9,0.7764192757921242
20,20,10,0.8571013943660362
21,21,12,0.8801688786992283
22,22,17,0.8244115704862014
23,23,16,0.9314571688660458
24,0,4,0.7304936198993393
25,1,8,0.8367430995563209
26,2,5,0.7176846538564626
27,3,2,0.8922144288657154
