column,mean,count_nonnull
pid,5286.5,10572
arrival,21465.892830117293,10572
ctas,3.0477676882330687,10572
acuity,0.4939843686157514,10572
lwbs_min,350.79047706835684,10572
lwbs,0.9562050699962165,10572
arrival_to_offload,8.605030721575357,2965
offload_to_clear,46.21263374270323,2619
ems_total_minutes,54.803658156776436,2619
download_minutes,414.33650901893907,9
bed_start,582.90625,64
bed_end,731.4041400874652,46
disposition_time,21761.744499097887,10155
los_minutes,359.73297767986725,10155
treatment_start,582.90625,64
requires_lab,0.4977298524404086,10572
requires_di,0.3577374195989406,10572
lab_start,589.5279822976186,23
lab_end,674.6602914475459,23
lab_minutes,85.13230914992727,23
lab_is_critical,0.00018917896329928113,10572
di_start,527.209199001012,15
di_end,611.9756805015687,15
di_minutes,84.76648150055664,15
nurse_assess_start,755.8032601617124,11
nurse_assess_end,833.2831650795792,11
nurse_assess_minutes,77.47990491786686,11
one_touch,0.2517026106696935,10572
two_touch,0.6519107075293228,10572
three_touch,0.09638668180098373,10572
consult_ordered,0.0007567158531971245,10572
consult_minutes,65.08908098552783,8
consult_count,0.0,10572
consult_minutes_total,0.0,10572
consult_admit,0.0007567158531971245,10572
admit,0.0007567158531971245,10572
admit_decision_time,673.0395593432851,8
emergency_inpatient_time,0.0,8
inpatient_start,673.0395593432851,8
inpatient_end,5780.155132798,8
inpatient_los_minutes,5107.115573454714,8
